Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20191011_STDAssay_LHR52_4_58_55(2)Run01_A01,2030,2067,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_A02,1942,1951,2053,2119,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_A03,2014,2062,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_A04,1846,1891,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_A05,2034,0,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_A06,1847,0,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_A07,1873,1950,2048,2091,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_A08,1917,2023,2075,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_A09,1816,1881,2001,2068,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_A10,1859,1924,2062,2145,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_A11,2026,2116,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_A12,1951,2089,2184,2190,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_B01,0,0,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_B02,1898,1965,2076,2112,2141,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_B03,1951,1971,2020,2061,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_B04,1845,1882,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_B05,2030,2060,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_B06,1845,1956,2089,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_B07,1967,2054,2086,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_B08,1941,2029,2068,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_B09,1899,2015,2080,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_B10,1901,2033,2115,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_B11,1888,2022,2101,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_B12,2011,2032,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_C01,1895,1947,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_C02,1870,1902,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_C03,1905,2029,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_C04,1880,0,0,0,0,0,0,0,0
20191011_STDAssay_LHR52_4_58_55(2)Run01_C05,2037,0,0,0,0,0,0,0,0
